company_id,vendor_id,category_id,tax_id,name,slug,sku,barcode,short_description,description,cost_price,price,compare_price,has_variants,track_stock,weight,is_active,is_featured,meta_title,meta_desc,tax_rate
1,,,1,ACRILICO POLIMERO AUTOCURABLE SUBITON x 1Kg,acrilico-polimero-autocurable-subiton-x-1kg,7,,,,41646.09,62500,,0,1,,1,0,,,21.0
1,,,1,ACRILICO LIQUIDO AUTOCURABLE SUBITON x 1Lt,acrilico-liquido-autocurable-subiton-x-1lt,8,,,,27674.0,41500,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA COLADO APC OKI x 800Gs,acrilico-para-colado-apc-oki-x-800gs,9,,,,75756.0,113600,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA CUBETAS OKI CRIL AUTOPOLIMERIZABLE CELESTE x 1Kg,acrilico-para-cubetas-oki-cril-autopolimerizable-celeste-x-1kg,10,,,,46640.0,70000,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA ORTODONCIA OKI AUTOPOLIMERIZABLE CRISTAL x 1Kg ,acrilico-para-ortodoncia-oki-autopolimerizable-cristal-x-1kg,11,,,,86000.0,129000,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA ORTODONCIA OKI AUTOPOLIMERIZABLE BLANCO/NEGRO x 400Gs ,acrilico-para-ortodoncia-oki-autopolimerizable-blanconegro-x-400gs,12,,,,42360.0,63500,,0,1,,1,0,,,21.0
1,,,1,ACRILICO ROSADO PARA PLACA BASE INDENTAL x 1 Kg,acrilico-rosado-para-placa-base-indental-x-1-kg,13,,,,45000.0,67500,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA INYECCION API x 1Kg CLARO,acrilico-para-inyeccion-api-x-1kg-claro,14,,,,155800.0,233700,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA INYECCION API x 1Kg CRISTAL,acrilico-para-inyeccion-api-x-1kg-cristal,15,,,,155800.0,233700,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA INYECCION API x 1Kg MEDIO,acrilico-para-inyeccion-api-x-1kg-medio,16,,,,155800.0,233700,,0,1,,1,0,,,21.0
